phone_number,reports,fraud_tag,risk_score,last_reported
9275955252,11,Lottery Scam,55,2026-02-07 21:10:37.748212
9189476829,9,Fake UPI Collect,45,2026-02-11 21:10:37.748212
9286170677,15,Lottery Scam,75,2026-02-10 21:10:37.748212
9635174731,0,None,0,2026-01-15 21:10:37.748212
9716231604,9,Impersonation,45,2026-01-19 21:10:37.748212
9483971387,17,KYC Fraud,85,2026-01-27 21:10:37.748212
9685301883,14,KYC Fraud,70,2026-02-01 21:10:37.748212
9890642778,3,None,15,2026-01-31 21:10:37.748212
9475284966,11,Fake UPI Collect,55,2026-01-19 21:10:37.748212
9248385220,0,None,0,2026-01-25 21:10:37.748212
9241426606,20,Fake UPI Collect,100,2026-02-11 21:10:37.748212
9803031977,6,None,30,2026-02-03 21:10:37.748212
9408829400,6,None,30,2026-01-28 21:10:37.748212
9664108938,17,Loan Scam,85,2026-01-17 21:10:37.748212
9123947724,0,None,0,2026-02-05 21:10:37.748212
9350727940,8,Impersonation,40,2026-01-31 21:10:37.748212
9318024621,6,None,30,2026-02-01 21:10:37.748212
9935409286,19,Impersonation,95,2026-01-13 21:10:37.748212
9241634929,7,None,35,2026-02-06 21:10:37.748212
9994807109,13,Lottery Scam,65,2026-02-06 21:10:37.748212
9625633421,16,Lottery Scam,80,2026-01-17 21:10:37.748212
9319014196,14,Impersonation,70,2026-01-14 21:10:37.748212
9105848149,14,Job Scam,70,2026-01-22 21:10:37.748212
9990185005,19,Impersonation,95,2026-01-13 21:10:37.748212
9852246984,5,None,25,2026-01-23 21:10:37.748212
9562981970,18,Fake UPI Collect,90,2026-01-31 21:10:37.748212
9660644733,6,None,30,2026-01-28 21:10:37.748212
9911196151,13,Job Scam,65,2026-01-23 21:10:37.748212
9736902578,9,Fake UPI Collect,45,2026-01-17 21:10:37.748212
9493299006,6,None,30,2026-01-18 21:10:37.748212
9101456323,3,None,15,2026-01-18 21:10:37.748212
9905292574,8,Job Scam,40,2026-01-24 21:10:37.748212
9818590531,2,None,10,2026-02-01 21:10:37.748212
9713761944,2,None,10,2026-01-12 21:10:37.748212
9359569985,3,None,15,2026-02-06 21:10:37.748212
9793418652,3,None,15,2026-01-17 21:10:37.748212
9639569744,0,None,0,2026-02-04 21:10:37.748212
9751950075,17,KYC Fraud,85,2026-01-31 21:10:37.748212
9455753429,4,None,20,2026-01-27 21:10:37.748212
9203403331,4,None,20,2026-01-16 21:10:37.748212
9981706096,10,Fake UPI Collect,50,2026-01-29 21:10:37.748212
9951118858,19,Fake UPI Collect,95,2026-02-09 21:10:37.748212
9784603788,1,None,5,2026-02-01 21:10:37.748212
9972215989,3,None,15,2026-01-27 21:10:37.748212
9935577918,1,None,5,2026-02-07 21:10:37.748212
9151322580,9,Job Scam,45,2026-01-24 21:10:37.748212
9434517275,2,None,10,2026-02-05 21:10:37.748212
9275401824,4,None,20,2026-01-30 21:10:37.748212
9531520126,6,None,30,2026-01-17 21:10:37.748212
9400013342,1,None,5,2026-01-23 21:10:37.748212
9989010815,14,KYC Fraud,70,2026-01-31 21:10:37.748212
9466900146,19,Lottery Scam,95,2026-02-01 21:10:37.748212
9561981124,8,Impersonation,40,2026-01-19 21:10:37.748212
9841706286,19,Fake UPI Collect,95,2026-02-03 21:10:37.748212
9251397501,15,Loan Scam,75,2026-01-27 21:10:37.748212
9689140784,5,None,25,2026-02-08 21:10:37.748212
9286695062,17,Loan Scam,85,2026-01-15 21:10:37.748212
9174763740,5,None,25,2026-01-29 21:10:37.748212
9598291810,13,Impersonation,65,2026-02-05 21:10:37.748212
9735107105,13,KYC Fraud,65,2026-02-11 21:10:37.748212
9674691301,2,None,10,2026-01-12 21:10:37.748212
9796618203,13,Loan Scam,65,2026-01-25 21:10:37.748212
9820693283,18,Fake UPI Collect,90,2026-01-29 21:10:37.748212
9691948210,10,Impersonation,50,2026-01-18 21:10:37.748212
9548743528,20,Job Scam,100,2026-01-16 21:10:37.748212
9814130579,11,Impersonation,55,2026-02-06 21:10:37.748212
9241909798,14,Job Scam,70,2026-01-12 21:10:37.748212
9791772969,18,Fake UPI Collect,90,2026-02-05 21:10:37.748212
9664793048,20,Loan Scam,100,2026-02-05 21:10:37.748212
9741777423,12,Lottery Scam,60,2026-01-12 21:10:37.748212
9735533473,17,Lottery Scam,85,2026-02-11 21:10:37.748212
9952965656,7,None,35,2026-01-12 21:10:37.748212
9598307526,1,None,5,2026-01-26 21:10:37.748212
9939751347,4,None,20,2026-01-31 21:10:37.748212
9254342987,14,KYC Fraud,70,2026-01-19 21:10:37.748212
9551555242,14,Impersonation,70,2026-02-04 21:10:37.748212
9214148910,11,Loan Scam,55,2026-01-24 21:10:37.748212
9354352993,11,KYC Fraud,55,2026-02-09 21:10:37.748212
9405747175,18,Impersonation,90,2026-02-02 21:10:37.748212
9480838257,16,KYC Fraud,80,2026-01-21 21:10:37.748212
9403923172,3,None,15,2026-02-03 21:10:37.748212
9173183993,12,Fake UPI Collect,60,2026-01-19 21:10:37.748212
9322335390,14,Impersonation,70,2026-02-07 21:10:37.748212
9269818843,11,Lottery Scam,55,2026-02-07 21:10:37.748212
9989050908,12,Job Scam,60,2026-02-06 21:10:37.748212
9351339922,13,Fake UPI Collect,65,2026-01-13 21:10:37.748212
9207322476,20,Lottery Scam,100,2026-01-29 21:10:37.748212
9673579548,6,None,30,2026-01-14 21:10:37.748212
9505047273,8,Fake UPI Collect,40,2026-01-18 21:10:37.748212
9655422000,8,Job Scam,40,2026-02-07 21:10:37.748212
9132572957,16,Fake UPI Collect,80,2026-01-20 21:10:37.748212
9180449745,15,KYC Fraud,75,2026-01-16 21:10:37.748212
9288508903,17,KYC Fraud,85,2026-01-21 21:10:37.748212
9333312300,13,KYC Fraud,65,2026-01-29 21:10:37.748212
9228663663,0,None,0,2026-01-22 21:10:37.748212
9559655172,8,KYC Fraud,40,2026-01-28 21:10:37.748212
9201779884,10,Job Scam,50,2026-02-08 21:10:37.748212
9579123419,16,Loan Scam,80,2026-01-15 21:10:37.748212
9744012596,11,Fake UPI Collect,55,2026-01-19 21:10:37.748212
9182821914,7,None,35,2026-01-22 21:10:37.748212
9108058626,2,None,10,2026-02-11 21:10:37.748212
9308734728,13,Impersonation,65,2026-01-14 21:10:37.748212
9527569629,6,None,30,2026-01-27 21:10:37.748212
9220807109,0,None,0,2026-01-18 21:10:37.748212
9562908554,19,KYC Fraud,95,2026-01-19 21:10:37.748212
9304006279,0,None,0,2026-02-03 21:10:37.748212
9118879798,9,Fake UPI Collect,45,2026-01-18 21:10:37.748212
9148134389,6,None,30,2026-02-11 21:10:37.748212
9646786414,10,KYC Fraud,50,2026-02-08 21:10:37.748212
9885265110,14,Job Scam,70,2026-02-08 21:10:37.748212
9383581155,5,None,25,2026-01-27 21:10:37.748212
9470922382,17,KYC Fraud,85,2026-01-23 21:10:37.748212
9627813193,12,Loan Scam,60,2026-01-24 21:10:37.748212
9681408262,12,Impersonation,60,2026-01-22 21:10:37.748212
9880120055,9,Lottery Scam,45,2026-02-10 21:10:37.748212
9832224237,15,Fake UPI Collect,75,2026-01-26 21:10:37.748212
9635296537,3,None,15,2026-02-02 21:10:37.748212
9409363451,2,None,10,2026-01-25 21:10:37.748212
9416131346,4,None,20,2026-01-16 21:10:37.748212
9774265028,8,Fake UPI Collect,40,2026-02-04 21:10:37.748212
9161735701,2,None,10,2026-02-08 21:10:37.748212
9942109986,6,None,30,2026-01-28 21:10:37.748212
9316021446,16,Job Scam,80,2026-01-28 21:10:37.748212
9849156182,9,Job Scam,45,2026-01-17 21:10:37.748212
9686193015,17,Fake UPI Collect,85,2026-01-22 21:10:37.748212
9465588542,19,KYC Fraud,95,2026-01-31 21:10:37.748212
9696902646,12,Fake UPI Collect,60,2026-01-20 21:10:37.748212
9553493083,8,Fake UPI Collect,40,2026-01-27 21:10:37.748212
9181516272,20,KYC Fraud,100,2026-01-24 21:10:37.748212
9242265265,10,Lottery Scam,50,2026-01-23 21:10:37.748212
9460329789,20,Job Scam,100,2026-01-31 21:10:37.748212
9275222373,1,None,5,2026-01-29 21:10:37.748212
9565876430,14,Loan Scam,70,2026-01-22 21:10:37.748212
9279509564,20,KYC Fraud,100,2026-01-22 21:10:37.748212
9215211570,20,Fake UPI Collect,100,2026-01-17 21:10:37.748212
9139561293,20,Job Scam,100,2026-01-12 21:10:37.748212
9607620045,7,None,35,2026-02-08 21:10:37.748212
9418377226,5,None,25,2026-01-26 21:10:37.748212
9251540303,7,None,35,2026-01-27 21:10:37.748212
9759299983,13,KYC Fraud,65,2026-02-04 21:10:37.748212
9705606123,10,KYC Fraud,50,2026-01-26 21:10:37.748212
9364422994,19,Impersonation,95,2026-01-12 21:10:37.748212
9381372560,1,None,5,2026-02-07 21:10:37.748212
9496052722,12,Fake UPI Collect,60,2026-01-20 21:10:37.748212
9317271804,18,Job Scam,90,2026-01-16 21:10:37.748212
9301755379,1,None,5,2026-01-25 21:10:37.748212
9649155673,2,None,10,2026-01-24 21:10:37.748212
9165854478,1,None,5,2026-01-28 21:10:37.748212
9214753733,4,None,20,2026-01-24 21:10:37.748212
9634761273,16,Job Scam,80,2026-01-27 21:10:37.748212
9465594890,13,KYC Fraud,65,2026-01-24 21:10:37.748212
9229715010,9,Fake UPI Collect,45,2026-01-23 21:10:37.748212
9829867407,11,Impersonation,55,2026-01-14 21:10:37.748212
9840734392,6,None,30,2026-01-21 21:10:37.748212
9317588008,15,Fake UPI Collect,75,2026-01-30 21:10:37.748212
9763546477,0,None,0,2026-01-17 21:10:37.748212
9283020287,10,KYC Fraud,50,2026-01-29 21:10:37.748212
9627920904,9,Lottery Scam,45,2026-02-10 21:10:37.748212
9473507275,17,Fake UPI Collect,85,2026-01-26 21:10:37.748212
9498007922,13,Fake UPI Collect,65,2026-01-30 21:10:37.748212
9132796207,13,Impersonation,65,2026-01-18 21:10:37.748212
9570507807,14,Fake UPI Collect,70,2026-01-17 21:10:37.748212
9152958458,13,KYC Fraud,65,2026-01-12 21:10:37.748212
9495763046,13,Fake UPI Collect,65,2026-02-04 21:10:37.748212
9159481363,18,Lottery Scam,90,2026-01-29 21:10:37.748212
9731438072,5,None,25,2026-01-24 21:10:37.748212
9323761671,18,KYC Fraud,90,2026-02-11 21:10:37.748212
9518672318,13,Job Scam,65,2026-01-24 21:10:37.748212
9314309329,14,Lottery Scam,70,2026-01-30 21:10:37.748212
9135260843,9,KYC Fraud,45,2026-01-19 21:10:37.748212
9838767730,16,Fake UPI Collect,80,2026-01-24 21:10:37.748212
9123457309,7,None,35,2026-01-31 21:10:37.748212
9503781001,3,None,15,2026-01-14 21:10:37.748212
9898523298,0,None,0,2026-01-31 21:10:37.748212
9508141444,19,Fake UPI Collect,95,2026-01-25 21:10:37.748212
9520994650,9,Lottery Scam,45,2026-02-06 21:10:37.748212
9101927722,16,Lottery Scam,80,2026-02-03 21:10:37.748212
9920351366,16,Job Scam,80,2026-01-21 21:10:37.748212
9972365756,8,Job Scam,40,2026-01-16 21:10:37.748212
9322600880,19,Job Scam,95,2026-01-18 21:10:37.748212
9468514925,4,None,20,2026-01-16 21:10:37.748212
9822404721,4,None,20,2026-01-17 21:10:37.748212
9993351058,13,Job Scam,65,2026-01-29 21:10:37.748212
9891249974,2,None,10,2026-01-22 21:10:37.748212
9826459552,9,Loan Scam,45,2026-01-21 21:10:37.748212
9504274883,15,Fake UPI Collect,75,2026-01-20 21:10:37.748212
9628029718,6,None,30,2026-01-25 21:10:37.748212
9728935503,1,None,5,2026-02-08 21:10:37.748212
9786014452,13,Job Scam,65,2026-01-12 21:10:37.748212
9141754890,13,Fake UPI Collect,65,2026-02-11 21:10:37.748212
9772191369,4,None,20,2026-02-01 21:10:37.748212
9388280952,8,KYC Fraud,40,2026-01-23 21:10:37.748212
9217693781,10,Fake UPI Collect,50,2026-01-20 21:10:37.748212
9996045426,14,KYC Fraud,70,2026-01-30 21:10:37.748212
9289574306,20,Fake UPI Collect,100,2026-01-22 21:10:37.748212
9260088728,9,Lottery Scam,45,2026-02-09 21:10:37.748212
9879065301,4,None,20,2026-02-07 21:10:37.748212
9578613549,4,None,20,2026-01-24 21:10:37.748212
9161519951,20,Job Scam,100,2026-02-10 21:10:37.748212
9812735817,6,None,30,2026-01-27 21:10:37.748212
9470104426,1,None,5,2026-01-13 21:10:37.748212
9523618951,18,Fake UPI Collect,90,2026-02-02 21:10:37.748212
9272849639,3,None,15,2026-02-02 21:10:37.748212
9519899557,2,None,10,2026-01-30 21:10:37.748212
9168197797,12,Impersonation,60,2026-01-17 21:10:37.748212
9499943154,9,Impersonation,45,2026-02-01 21:10:37.748212
9250360896,1,None,5,2026-02-11 21:10:37.748212
9650494028,8,KYC Fraud,40,2026-01-26 21:10:37.748212
9534442411,0,None,0,2026-01-29 21:10:37.748212
9912191867,12,Impersonation,60,2026-01-17 21:10:37.748212
9544109889,1,None,5,2026-02-02 21:10:37.748212
9930470707,1,None,5,2026-02-08 21:10:37.748212
9248147207,17,Fake UPI Collect,85,2026-01-15 21:10:37.748212
9348786265,9,KYC Fraud,45,2026-02-09 21:10:37.748212
9145154768,20,Impersonation,100,2026-02-07 21:10:37.748212
9166159662,6,None,30,2026-01-29 21:10:37.748212
9992697035,13,Fake UPI Collect,65,2026-02-02 21:10:37.748212
9274834238,20,Impersonation,100,2026-02-09 21:10:37.748212
9588378577,13,Lottery Scam,65,2026-01-27 21:10:37.748212
9451869216,8,Loan Scam,40,2026-01-13 21:10:37.748212
9858902963,16,Fake UPI Collect,80,2026-01-14 21:10:37.748212
9417033398,16,Fake UPI Collect,80,2026-02-06 21:10:37.748212
9682820696,20,KYC Fraud,100,2026-01-20 21:10:37.748212
9999483311,6,None,30,2026-01-17 21:10:37.748212
9750082986,18,Impersonation,90,2026-01-23 21:10:37.748212
9959191778,8,Lottery Scam,40,2026-01-22 21:10:37.748212
9546100000,9,KYC Fraud,45,2026-01-31 21:10:37.748212
9829615810,6,None,30,2026-01-31 21:10:37.748212
9697419767,9,Fake UPI Collect,45,2026-01-25 21:10:37.748212
9176629810,14,KYC Fraud,70,2026-02-04 21:10:37.748212
9330229211,10,Job Scam,50,2026-01-30 21:10:37.748212
9351162902,14,Loan Scam,70,2026-01-27 21:10:37.748212
9747083913,10,KYC Fraud,50,2026-01-29 21:10:37.748212
9145975105,16,Lottery Scam,80,2026-02-02 21:10:37.748212
9707813360,12,Fake UPI Collect,60,2026-02-04 21:10:37.748212
9946725258,15,Fake UPI Collect,75,2026-01-22 21:10:37.748212
9538741776,2,None,10,2026-02-11 21:10:37.748212
9407720781,20,KYC Fraud,100,2026-01-27 21:10:37.748212
9120053089,10,Fake UPI Collect,50,2026-02-11 21:10:37.748212
9768564139,9,Lottery Scam,45,2026-01-30 21:10:37.748212
9573334624,13,Lottery Scam,65,2026-01-20 21:10:37.748212
9730648032,14,Impersonation,70,2026-01-30 21:10:37.748212
9295213794,20,Impersonation,100,2026-01-16 21:10:37.748212
9845072126,17,Fake UPI Collect,85,2026-01-30 21:10:37.748212
9339487998,16,KYC Fraud,80,2026-02-07 21:10:37.748212
9990935852,13,KYC Fraud,65,2026-02-02 21:10:37.748212
9970610839,16,KYC Fraud,80,2026-01-21 21:10:37.748212
9208633362,0,None,0,2026-02-02 21:10:37.748212
9647344001,19,Lottery Scam,95,2026-02-07 21:10:37.748212
9455372991,10,Impersonation,50,2026-01-14 21:10:37.748212
9100054142,17,KYC Fraud,85,2026-01-13 21:10:37.748212
9626518308,13,Impersonation,65,2026-01-20 21:10:37.748212
9586904258,0,None,0,2026-01-21 21:10:37.748212
9938696578,5,None,25,2026-01-23 21:10:37.748212
9415264814,11,Fake UPI Collect,55,2026-01-30 21:10:37.748212
9245633095,20,Fake UPI Collect,100,2026-01-15 21:10:37.748212
9664712233,13,Loan Scam,65,2026-02-04 21:10:37.748212
9795114835,18,Job Scam,90,2026-02-04 21:10:37.748212
9112785893,14,KYC Fraud,70,2026-02-04 21:10:37.748212
9203271631,6,None,30,2026-01-29 21:10:37.748212
9638158298,0,None,0,2026-01-25 21:10:37.748212
9824704427,15,Job Scam,75,2026-02-07 21:10:37.748212
9747334154,1,None,5,2026-02-04 21:10:37.748212
9325340488,9,Job Scam,45,2026-01-14 21:10:37.748212
9783964345,0,None,0,2026-01-27 21:10:37.748212
9825291534,15,Lottery Scam,75,2026-01-27 21:10:37.748212
9331598463,20,Job Scam,100,2026-02-01 21:10:37.748212
9186414588,3,None,15,2026-02-05 21:10:37.748212
9210763702,19,Loan Scam,95,2026-02-05 21:10:37.748212
9553863310,12,Impersonation,60,2026-02-04 21:10:37.748212
9665321495,20,Loan Scam,100,2026-01-31 21:10:37.748212
9331152250,5,None,25,2026-01-20 21:10:37.748212
9643771185,7,None,35,2026-01-15 21:10:37.748212
9204495259,19,Fake UPI Collect,95,2026-01-28 21:10:37.748212
9827890718,14,Job Scam,70,2026-01-13 21:10:37.748212
9699862268,8,Fake UPI Collect,40,2026-01-18 21:10:37.748212
9165666495,2,None,10,2026-01-12 21:10:37.748212
9738678796,10,Job Scam,50,2026-01-29 21:10:37.748212
9640808955,1,None,5,2026-01-29 21:10:37.748212
9176063649,11,Lottery Scam,55,2026-02-01 21:10:37.748212
9830567406,7,None,35,2026-02-06 21:10:37.748212
9451625789,13,Fake UPI Collect,65,2026-01-24 21:10:37.748212
9199716676,12,Impersonation,60,2026-01-16 21:10:37.748212
9958204545,10,Loan Scam,50,2026-01-21 21:10:37.748212
9694882319,18,Fake UPI Collect,90,2026-01-17 21:10:37.748212
9254743704,11,Job Scam,55,2026-01-18 21:10:37.748212
9498948423,15,Job Scam,75,2026-02-02 21:10:37.748212
9103503744,0,None,0,2026-01-27 21:10:37.748212
9509622602,17,KYC Fraud,85,2026-01-25 21:10:37.748212
9649501172,13,Fake UPI Collect,65,2026-02-06 21:10:37.748212
9485266175,11,KYC Fraud,55,2026-02-09 21:10:37.751299
9733401887,2,None,10,2026-01-15 21:10:37.751299
9490610333,16,Fake UPI Collect,80,2026-01-14 21:10:37.751299
9956999058,6,None,30,2026-01-23 21:10:37.751299
9181758575,14,Loan Scam,70,2026-01-22 21:10:37.751299
9494235169,19,Loan Scam,95,2026-01-27 21:10:37.751299
9542571345,3,None,15,2026-01-17 21:10:37.751299
9885557358,17,KYC Fraud,85,2026-01-23 21:10:37.751299
9595562989,1,None,5,2026-01-12 21:10:37.751299
9249637677,20,Lottery Scam,100,2026-02-09 21:10:37.751299
9259685598,13,Loan Scam,65,2026-01-15 21:10:37.751299
9390548659,9,Lottery Scam,45,2026-01-28 21:10:37.751299
9806352892,12,Loan Scam,60,2026-02-08 21:10:37.751299
9415461744,6,None,30,2026-01-20 21:10:37.751299
9226184369,5,None,25,2026-02-08 21:10:37.751299
9350024969,3,None,15,2026-02-07 21:10:37.751299
9305305122,11,Loan Scam,55,2026-01-12 21:10:37.751299
9153893415,9,Fake UPI Collect,45,2026-02-06 21:10:37.751299
9556908455,14,Fake UPI Collect,70,2026-02-08 21:10:37.751299
9184164163,14,Impersonation,70,2026-02-11 21:10:37.751299
9102314179,2,None,10,2026-01-15 21:10:37.751299
9334061725,6,None,30,2026-01-12 21:10:37.751299
9518578513,10,KYC Fraud,50,2026-01-20 21:10:37.751299
9573777985,10,Loan Scam,50,2026-02-08 21:10:37.751299
9578828403,17,KYC Fraud,85,2026-01-21 21:10:37.751299
9175393133,1,None,5,2026-02-09 21:10:37.751299
9238810956,2,None,10,2026-01-31 21:10:37.751299
9816890121,3,None,15,2026-02-08 21:10:37.751299
9472828701,10,KYC Fraud,50,2026-02-10 21:10:37.751299
9976198784,4,None,20,2026-02-02 21:10:37.751299
9555803150,8,KYC Fraud,40,2026-02-07 21:10:37.751299
9562493419,4,None,20,2026-01-29 21:10:37.751299
9643003343,9,KYC Fraud,45,2026-01-18 21:10:37.751299
9763672871,6,None,30,2026-01-17 21:10:37.751299
9864634936,18,Impersonation,90,2026-01-15 21:10:37.751299
9550585549,11,Fake UPI Collect,55,2026-01-19 21:10:37.751299
9346795545,18,Lottery Scam,90,2026-02-08 21:10:37.751299
9333934645,13,Fake UPI Collect,65,2026-01-23 21:10:37.751299
9366709206,9,KYC Fraud,45,2026-02-05 21:10:37.751299
9165194350,4,None,20,2026-01-18 21:10:37.751299
9665422332,0,None,0,2026-01-18 21:10:37.751299
9712567010,19,Job Scam,95,2026-01-30 21:10:37.751299
9949544952,2,None,10,2026-01-22 21:10:37.751299
9494715079,1,None,5,2026-01-28 21:10:37.751299
9341209803,20,Job Scam,100,2026-02-01 21:10:37.751299
9442407535,10,KYC Fraud,50,2026-01-12 21:10:37.751299
9251271355,13,Lottery Scam,65,2026-01-25 21:10:37.751299
9336895204,10,Job Scam,50,2026-02-04 21:10:37.751299
9255313537,4,None,20,2026-01-28 21:10:37.751299
9854626670,0,None,0,2026-02-01 21:10:37.751299
9647538503,11,Impersonation,55,2026-01-21 21:10:37.751299
9453256456,1,None,5,2026-01-15 21:10:37.751299
9116169318,1,None,5,2026-02-06 21:10:37.751299
9903558125,5,None,25,2026-02-10 21:10:37.751299
9953242642,1,None,5,2026-01-24 21:10:37.751299
9866457839,20,Job Scam,100,2026-01-16 21:10:37.751299
9164031414,5,None,25,2026-01-15 21:10:37.751299
9610779669,0,None,0,2026-01-17 21:10:37.751299
9657643344,19,Fake UPI Collect,95,2026-02-08 21:10:37.751299
9929957260,2,None,10,2026-01-12 21:10:37.751299
9355779753,2,None,10,2026-01-24 21:10:37.751299
9994018935,18,Loan Scam,90,2026-01-14 21:10:37.751299
9959704395,4,None,20,2026-01-15 21:10:37.751299
9289540899,6,None,30,2026-01-20 21:10:37.751299
9420858260,19,Loan Scam,95,2026-02-06 21:10:37.751299
9787045859,20,Loan Scam,100,2026-02-04 21:10:37.751299
9502284275,19,Fake UPI Collect,95,2026-01-19 21:10:37.751299
9945975546,10,Impersonation,50,2026-02-01 21:10:37.751299
9132822881,2,None,10,2026-01-17 21:10:37.751299
9184823337,11,Impersonation,55,2026-02-08 21:10:37.751299
9765562087,6,None,30,2026-01-26 21:10:37.751299
9846526243,10,Job Scam,50,2026-01-21 21:10:37.751299
9668294187,4,None,20,2026-01-12 21:10:37.751299
9506319854,18,Job Scam,90,2026-01-28 21:10:37.751299
9337679509,2,None,10,2026-02-04 21:10:37.751299
9588124197,20,Lottery Scam,100,2026-02-04 21:10:37.751299
9652023860,0,None,0,2026-01-29 21:10:37.751299
9462312322,5,None,25,2026-02-07 21:10:37.751299
9980091128,9,Lottery Scam,45,2026-02-07 21:10:37.751299
9305633948,2,None,10,2026-02-04 21:10:37.751299
9815269127,1,None,5,2026-01-29 21:10:37.751299
9921773982,4,None,20,2026-01-13 21:10:37.751299
9696878639,0,None,0,2026-01-22 21:10:37.751299
9735422658,16,Lottery Scam,80,2026-01-16 21:10:37.751299
9148815031,4,None,20,2026-02-05 21:10:37.751299
9222425444,1,None,5,2026-01-28 21:10:37.751299
9933709969,0,None,0,2026-01-19 21:10:37.751299
9216261605,6,None,30,2026-01-15 21:10:37.751299
9980724653,15,Impersonation,75,2026-01-21 21:10:37.751299
9921485457,4,None,20,2026-01-19 21:10:37.751299
9925110071,15,KYC Fraud,75,2026-01-29 21:10:37.751299
9934114009,8,Job Scam,40,2026-02-01 21:10:37.751299
9142893050,13,Loan Scam,65,2026-01-13 21:10:37.751299
9150200970,12,Lottery Scam,60,2026-02-11 21:10:37.751299
9728410261,5,None,25,2026-02-04 21:10:37.751299
9421243321,20,Job Scam,100,2026-01-23 21:10:37.751299
9329826109,8,Loan Scam,40,2026-02-07 21:10:37.751299
9263686752,18,Impersonation,90,2026-01-19 21:10:37.751299
9550088418,14,Fake UPI Collect,70,2026-01-16 21:10:37.751299
